goal,goal_description,goal_code,target,target_description,target_code,indicator,indicator_description,indicator_code
Unfreeze,Prepare the organization for change by creating awareness and readiness.,,Conduct awareness campaigns, reaching at least 80% of community stakeholders within the first month.,,Engagement metrics such as website visits or social media interactions tied to the campaign.,,
,,,,,,Number of inquiries or follow-up meetings requested by community stakeholders after the campaign.,,
,,,,,,Attendance rates at community forums or informational events.,,
,,,Organize workshops for 90% of the social enterprise staff to explain the need for change and gather input.,,,Pre- and post-workshop surveys measuring changes in staff understanding of the need for change.,,
,,,,,,Volume and quality of suggestions or concerns raised by staff during workshops.,,
,,,,,,Percentage of staff expressing enthusiasm or willingness to support the initiative (via follow-up questionnaires).,,
,,,Engage 100% of key donors and partners in discussions about the anticipated benefits of the new approach.,,,Donor and partner agreement rates to support the initiative (e.g., signed pledges or letters of support).,
,,,,,,Positive feedback in post-discussion evaluations.,,
,,,,,,Commitments of resources (time, funding, or expertise) made by donors and partners.
Change,Implement the changes and ensure that the new processes are adopted.,,Implement new project management tools across 100% of teams within two months.,,,Number of teams actively using the tools within the specified timeframe.,,
,,,,,,Reduction in project delays or errors after tool implementation.,,
,,,,,,Increased collaboration metrics (e.g., frequency of shared updates or meetings using the new tools).,
,,,Train 85% of staff and community volunteers to use the new tools effectively.,,,Training completion rates and scores on post-training assessments.,,
,,,,,,Staff and volunteer feedback on the usefulness of training sessions.,,
,,,,,,Frequency of troubleshooting requests related to the new tools (lower rates suggest better proficiency).,,
,,,Launch at least one pilot project within three months to test the effectiveness of the changes.,,,Success metrics of the pilot project, such as meeting defined objectives or milestones.,
,,,,,,Community feedback on the pilot project's impact (e.g., satisfaction surveys or focus groups).,
,,,,,,Data showing improved outcomes compared to previous practices (e.g., increased service reach or efficiency).,
Refreeze,Solidify the changes and ensure they are integrated into the organization's culture.,,Integrate new processes into the operational framework, ensuring inclusion in 100% of standard operating procedures (SOPs) within four months.,,Audit results showing alignment of SOPs with the new processes.,,
,,,,,,Staff adherence rates during observed operations, indicating successful integration.,
,,,,,,Feedback from employees or volunteers highlighting improvements in workflow consistency.,,
,,,Conduct quarterly evaluations of project outcomes to measure the effectiveness of the changes.,,,Key performance indicators (KPIs) such as improved service delivery time or cost savings.,,
,,,,,,Trends in community impact metrics (e.g., greater food security, reduced homelessness rates).
,,,,,,Qualitative feedback from stakeholders on changes in outcomes or efficiency.,,
,,,Create annual knowledge-sharing events to promote the adoption of the new practices across partner organizations.,,,Attendance rates and engagement during knowledge-sharing events.,,
,,,,,,Number of partner organizations expressing interest or committing to adopt similar changes.,,
,,,,,,Post-event surveys showing increased understanding or appreciation of the new practices.,,
